"Map","ID","Username","Date","Time","Quote","Hero","Game","Player.Title","Spotted.by","Notes","Year","Month","Day","Hour","Minute","Map.Type"
"Colosseo",788,"Jmoneysmooth",2024-03-19,03:37:00,"N/A","Reinhardt, Junker Queen","Overwatch","N/A","Seb","QP You Are Not Prepared icon Endorsement 2 Faye Valentine namecard private profile",2024,"Mar","Tue",3,"37","Push"
"Colosseo",240,"ACEJAYSEE",2023-07-23,20:33:00,NA,"Mercy","Overwatch","Peasant","Richard","Mercy Colesseo, Peasant",2023,"Jul","Sun",20,"33","Push"
"Colosseo",405,"JJJDRAGON31",2023-11-20,12:11:00,"""mmmm camel""","Roadhog","Overwatch","None","Seb","Hog, Skirmish, Colosseo, No name tag",2023,"Nov","Mon",12,"11","Push"
"Colosseo",886,"JJigs",2024-05-23,18:10:00,"""commin for you"" ""oh someone mad"" ""lol I know that hurts"" ""lucky"" ""run ham run""","Sombra","Overwatch","Monstrosity","Seb","Weirdo Jay QP Eye of Fear icon Endorsement 2 Cornered Beast namecard gold 4 Tank plat 5 Damage plat 4 Support, 2nd 2024-08-05 Oasis",2024,"May","Thu",18,"10","Push"
"Colosseo",167,"SolidSnakeJJ",2023-05-14,07:21:00,NA,"N/A","Overwatch","Peasant","Richard","Colesseo, 2nd 2023-11-04",2023,"May","Sun",7,"21","Push"
"Colosseo",1051,"AntiSocialCj",2024-08-13,17:42:00,"N/A","Widowmaker","Overwatch","Trickster","Seb","Skirmish Questwatch Pachimari icon Endorsement 4 Dance Machine namecard private profile",2024,"Aug","Tue",17,"42","Push"
"Colosseo",1100,"D5pmmj",2024-09-02,17:08:00,"""u ******""","Baptiste","Overwatch","Neogun","Seb","QP Mexico icon Endorsement 3 Mitzi and Friends namecard plat 5 Tank gold 1 Support Sigma main",2024,"Sep","Mon",17,"08","Push"
"Colosseo",1129,"JK47",2024-09-14,09:18:00,"""2nd time this week somebody says they recognize me on THIS map""","Rammatra","Overwatch","Legendary Beast","Richard","Was confused; Rank 53 mystery heroes",2024,"Sep","Sat",9,"18","Push"
"Colosseo",114,"BlueJay",2023-03-16,16:28:00,NA,"Tracer","Overwatch","Cyberdemon","Richard","Colosseo, off-tempo game, got slept 3 times on tracer",2023,"Mar","Thu",16,"28","Push"
"Colosseo",138,"MancorJ",2023-04-07,12:51:00,"""ya""","N/A","Overwatch","Master Challenger","Richard","Found in TDM",2023,"Apr","Fri",12,"51","Push"
"Colosseo",1125,"DJDropADeuce",2024-09-13,09:56:00,"N/A","Zarya ","Overwatch","Cosmic Being","Seb","HOLY FUCK THREE JAYS IN ONE GAME",2024,"Sep","Fri",9,"56","Push"
"Colosseo",1027,"JayDub",2024-08-06,11:12:00,"""gg""","Venture, Sombra","Overwatch","Kaiju","Seb","QP Copa Lúcioball Competitor 2021 icon Endorsement 4 Cerberus namecard Lifeweaver main",2024,"Aug","Tue",11,"12","Push"
"Colosseo",413,"TJREX",2023-11-21,13:37:00,NA,"N/A","Overwatch","Nomad","Richard","Nomad, DPS, Colosseo, Unrelenting hero",2023,"Nov","Tue",13,"37","Push"
"Colosseo",311,"JayDoll93",2023-10-10,13:16:00,"""im the best""","Mercy","Overwatch","Valkrie","Richard","Colosseo, mercy player, Valkryie",2023,"Oct","Tue",13,"16","Push"
"Dorado",915,"SSJ2Zoro",2024-06-09,10:31:00,"N/A","Mei","Overwatch","World Eater","Seb","Queue DM Pachimei icon Endorsement 5 Night Drive namecard Mei main",2024,"Jun","Sun",10,"31","Payload"
"Dorado",334,"MJ1427",2023-10-21,18:58:00,NA,"Ana","Overwatch","N/A","Richard","Ana player in the weirdest qp MRR i've ever been in",2023,"Oct","Sat",18,"58","Payload"
"Dorado",1083,"WhoKilledJay",2024-08-26,18:02:00,"""huh""","N/A","Overwatch","Minon","Seb","Comp DPS placements",2024,"Aug","Mon",18,"02","Payload"
"Dorado",696,"jDelay",2024-01-31,16:51:00,"""yeah nice turnaround""","Echo, Reinhardt, Mercy, Symmetra","Overwatch","Easy Prey","Seb","MH Kiriko icon Endorsement 5 ANTIFRAGILE Kira-Kira namecard",2024,"Jan","Wed",16,"51","Payload"
"Dorado",1000,"JSHORE",2024-07-23,14:15:00,"N/A","Mercy","Overwatch","Technoknight","Richard","QP ",2024,"Jul","Tue",14,"15","Payload"
"Dorado",409,"jayceelives",2023-11-21,07:47:00,"""who the hell are even you""","N/A","Overwatch","N/A","Seb","Deathmatch, Dorado",2023,"Nov","Tue",7,"47","Payload"
"Dorado",651,"JGVII5669",2024-01-16,09:20:00,"N/A","Junker Queen","Overwatch","N/A","Seb","Queue Skirmish Royal Emblem icon Endorsement 2 The Dead Hunger namecard",2024,"Jan","Tue",9,"20","Payload"
"Dorado",199,"JWOODLEY20",2023-05-31,14:31:00,NA,"N/A","Overwatch","Assassin","Vixx","Dorado",2023,"May","Wed",14,"31","Payload"
"Dorado",217,"JVT0207",2023-06-16,13:09:00,NA,"Echo","Overwatch","Philosopher","Richard","Echo on Dorado, Philosopher",2023,"Jun","Fri",13,"09","Payload"
"Dorado",717,"w ",2024-02-07,10:41:00,"N/A","Wrecking Ball","Overwatch","Treasure Goblin","Seb","Queue DM Archives 2021 icon Endorsement 4 Toronto namecard silver 5 Damage gold 3 Support",2024,"Feb","Wed",10,"41","Payload"
"Dorado",611,"jayjay",2024-01-04,17:32:00,"N/A","Cassidy","Overwatch","N/A","Seb","POSSIBLE SIGHTING #2 of JAYJAY from 2023-02-17",2024,"Jan","Thu",17,"32","Payload"
"Dorado",784,"DJZOMBIE",2024-03-18,03:08:00,"""yeh"" ""dva bro i need space damn""","Lúcio","Overwatch","Medic","Seb","QP Cute Lúcio icon Endorsement 3 Triple Pachimari namecard plat 2 Support",2024,"Mar","Mon",3,"08","Payload"
"Dorado",393,"jaykay",2023-11-16,13:09:00,"""in a loose term but not technically""","N/A","Overwatch","N/A","Basileus","Dorado",2023,"Nov","Thu",13,"09","Payload"
"Dorado",376,"JGReality",2023-11-13,12:50:00,"""it means sojourn so we journ""","Sojourn","Overwatch","None","Seb","Skirmish Dorado",2023,"Nov","Mon",12,"50","Payload"
"Dorado",610,"KJrian",2024-01-04,17:21:00,"""gj""","Lifeweaver, Zenyatta","Overwatch","Stalwart Hero","Seb","QP no profile",2024,"Jan","Thu",17,"21","Payload"
"Dorado",223,"JAEE",2023-06-20,13:56:00,NA,"Kiriko","Overwatch","Star Pilot","Vixx","Kiriko, Star Pilot",2023,"Jun","Tue",13,"56","Payload"
"Dorado",810,"Jay",2024-03-29,06:40:00,"N/A","Wrecking Ball, Genji","Overwatch","Star Pilot","Seb","MH leaver didn't confirm if repeat Jay Happy Squid icon Endorsement 4 private profile",2024,"Mar","Fri",6,"40","Payload"
"Dorado",652,"YueJV",2024-01-16,15:11:00,"N/A","Junkrat, Sombra","Overwatch","Fearsome Spirit","Josiad","Cyberdemon icon Endorsement 4 Cerberus namecard private profile",2024,"Jan","Tue",15,"11","Payload"
"Dorado",173,"jgibby",2023-05-15,08:03:00,"""With every task there's a challenge, with every challenge there's a lesson""","Ana","Overwatch","Grandmaster Challenger","Richard","GM ana from Dorado",2023,"May","Mon",8,"03","Payload"
"Dorado",848,"jdplopenheim",2024-04-22,08:29:00,"N/A","Roadhog, Reinhardt","Overwatch","Disciple","Seb","Queue Skirmish (map switched) Brigitte Silhouette icon Endorsement 3 Rio namecard private profile",2024,"Apr","Mon",8,"29","Payload"
"Dorado",196,"jshavs1",2023-05-28,16:32:00,"""ye""","N/A","Overwatch","Peasant","Richard","Peasant tag",2023,"May","Sun",16,"32","Payload"
"Dorado",782,"JSKG02",2024-03-17,04:29:00,"N/A","Doomfist","Overwatch","N/A","Seb","Queue DM Formal icon Endorsement 4 Grand Remains namecard private profile",2024,"Mar","Sun",4,"29","Payload"
"Dorado",349,"AJProdigy",2023-10-29,13:49:00,"""YER""","Illari","Overwatch","N/A","Vixx","Illari on Dorado",2023,"Oct","Sun",13,"49","Payload"
"Dorado",195,"JHL",2023-05-27,16:29:00,NA,"Hanzo","Overwatch","Peasant","Richard","Hanzo player",2023,"May","Sat",16,"29","Payload"
"Dorado",215,"JVTO207",2023-06-16,06:48:00,"""finessed""","Echo","Overwatch","Philosopher","Seb","dodged junk tire, 2nd 2023-06-16 esperanca",2023,"Jun","Fri",6,"48","Payload"
"Dorado",597,"JvPr",2024-01-02,18:01:00,"""Hey"" ""?""","Hanzo, Tracer","Overwatch","N/A","Seb","Queue DM added me",2024,"Jan","Tue",18,"01","Payload"
"Dorado",621,"JAY",2024-01-09,11:26:00,"N/A","Sigma","Overwatch","Scavenger","Josiad","Unconfirmed previous Jay 2024 icon Endorsement 4 Longhorn namecard plat 4 tank gold 2 damage plat 5 tank",2024,"Jan","Tue",11,"26","Payload"
"Dorado",882,"Jweshaa",2024-05-20,16:10:00,"N/A","Mercy, Ana","Overwatch","Bounty Hunter","Seb","QP Ashe icon Endorsement 4 ANTIFRAGILE Kira-Kira namecard private profile",2024,"May","Mon",16,"10","Payload"
"Dorado",773,"boomernjj",2024-03-07,09:02:00,"N/A","Reinhardt","Overwatch","Disciple","Seb","Queue DM Galactic icon Endorsement 4 gold 4 Tank silver 4 Damage silver 1 Support",2024,"Mar","Thu",9,"02","Payload"
"Dorado",778,"JLOOKOUTTTV",2024-03-12,17:07:00,"""the aim is stored in the balls""","N/A","Overwatch","N/A","Richard","QP DPS",2024,"Mar","Tue",17,"07","Payload"
"Dorado",109,"DaJInYou",2023-03-08,17:23:00,"""DaJInYou""","Lucio","Overwatch","None","Richard","Joined late on Dorado",2023,"Mar","Wed",17,"23","Payload"
"Dorado",442,"ASJ",2023-11-25,04:54:00,"""my initials""","Zenyatta","Overwatch","Stalwart Hero","Seb","Stalwart hero, zen, dorado",2023,"Nov","Sat",4,"54","Payload"
"Ecopoint: Antarctica",228,"Jxgames",2023-07-04,14:09:00,NA,"Pharah","Overwatch","Disciple","Richard","Found in custom games",2023,"Jul","Tue",14,"09","Other"
"Eichenwalde",613,"LimegreenJK",2024-01-05,12:29:00,"N/A","N/A","Overwatch","Outlaw","Seb","Queue Skirmish Rich Ashe icon Endorsement 2 private profile",2024,"Jan","Fri",12,"29","Hybrid"
"Eichenwalde",202,"JAYDEE",2023-06-02,18:57:00,NA,"Wrecking Ball","Overwatch","None","Vixx","Ball player, 2nd sighting 2024-07-11 Circuit Royal",2023,"Jun","Fri",18,"57","Hybrid"
"Eichenwalde",242,"CHADJB3",2023-07-25,16:58:00,"""hi cutie""","Moira","Overwatch","N/A","Richard","custom game",2023,"Jul","Tue",16,"58","Hybrid"
"Eichenwalde",296,"JAY",2023-10-02,16:31:00,NA,"N/A","Overwatch","Demigod","Seb","Genji icon, Demigod, Eichenwalde, did not know the dex, does not enjoy JoJos",2023,"Oct","Mon",16,"31","Hybrid"
"Eichenwalde",288,"JSC",2023-09-30,17:25:00,NA,"Widowmaker","Overwatch","N/A","Richard","Team deathmatch",2023,"Sep","Sat",17,"25","Hybrid"
"Eichenwalde",149,"JSpear",2023-04-23,10:19:00,NA,"N/A","Overwatch","Medic","Richard","Eichenwalde 2nd spotting 2023-04-09 gibraltar",2023,"Apr","Sun",10,"19","Hybrid"
"Eichenwalde",1239,"JJMain",2024-11-27,14:59:00,"""i aim to devistate""","N/A","Overwatch","Stalwart Hero","Richard","Infection",2024,"Nov","Wed",14,"59","Hybrid"
"Eichenwalde",162,"JJ00",2023-05-10,15:54:00,NA,"Sombra","Overwatch","N/A","Richard","Infection custom game",2023,"May","Wed",15,"54","Hybrid"
"Eichenwalde",803,"JayCleverly",2024-03-28,17:43:00,"N/A","N/A","Overwatch","N/A","Richard","Infection Custom Bastion Silhouette icon Endorsement 1 Cosmic Skyline namecard Support main",2024,"Mar","Thu",17,"43","Hybrid"
"Eichenwalde",287,"SamJ",2023-09-30,17:08:00,"""i don't do words""","N/A","Overwatch","N/A","Richard","team deathmatch",2023,"Sep","Sat",17,"08","Hybrid"
"Eichenwalde",339,"JT3SWIFT",2023-10-25,15:59:00,NA,"Ashe","Overwatch","N/A","Richard","Infection custom game.",2023,"Oct","Wed",15,"59","Hybrid"
"Eichenwalde",880,"JDO432",2024-05-20,15:58:00,"N/A","Soldier: 76","Overwatch","N/A","Seb","Queue DM Overwatch Dark icon Endorsement 1 private profile",2024,"May","Mon",15,"58","Hybrid"
"Eichenwalde",870,"Jaypowder",2024-05-05,15:18:00,"N/A","N/A","Overwatch","Hero of the Light","Richard","Infection",2024,"May","Sun",15,"18","Hybrid"
"Eichenwalde",152,"JRemedy",2023-04-28,14:33:00,"""what""","N/A","Overwatch","None","Richard","Eichenwalde",2023,"Apr","Fri",14,"33","Hybrid"
"Eichenwalde",373,"JcVibez31",2023-11-12,19:47:00,"""trust is like an eraser, it gets smaller as it goes""","Brigitte","Overwatch","Titan","Richard","Titan",2023,"Nov","Sun",19,"47","Hybrid"
"Eichenwalde",852,"jmilly",2024-04-24,17:20:00,"N/A","Tracer","Overwatch","N/A","Richard","Comp",2024,"Apr","Wed",17,"20","Hybrid"
"Eichenwalde",247,"JROCKET",2023-08-16,15:35:00,NA,"N/A","Overwatch","Stalwart Hero","Richard","Eichenwalde, Stalwart hero",2023,"Aug","Wed",15,"35","Hybrid"
"Eichenwalde",646,"JFrogFun",2024-01-14,17:01:00,"""nein""","N/A","Overwatch","N/A","Richard","Queue Infection custom Taekwondo icon Endorsement 3 private profile",2024,"Jan","Sun",17,"01","Hybrid"
"Eichenwalde",1200,"JaegerOx",2024-10-15,15:26:00,"N/A","N/A","Overwatch","Hashimoto Goon","Richard","Infection, genji profile icon",2024,"Oct","Tue",15,"26","Hybrid"
"Eichenwalde",1023,"TJRUNNER",2024-08-05,14:55:00,"N/A","Hanzo","Overwatch","N/A","Vixx","SPELLING UNCONFIRMED QP",2024,"Aug","Mon",14,"55","Hybrid"
"Eichenwalde",1115,"JooJaekyung",2024-09-10,04:12:00,"N/A","D.Va ","Overwatch","Knight","Seb","Skirmish OWWC KOR icon Endorsement 5 Queen Cobra namecard silver 3 Support Lifeweaver main",2024,"Sep","Tue",4,"12","Hybrid"
"Eichenwalde",454,"Jhay",2023-11-29,04:22:00,"""hello""","Widowmaker","Overwatch","N/A","Seb","Deathmatch Eichenwalde",2023,"Nov","Wed",4,"22","Hybrid"
"Eichenwalde",530,"tjbugs",2023-12-18,14:30:00,"N/A","N/A","Overwatch","N/A","verdantJay","",2023,"Dec","Mon",14,"30","Hybrid"
"Eichenwalde",567,"JYG",2023-12-28,07:19:00,"""gg""","Zenyatta, Ana","Overwatch","N/A","Seb","QP",2023,"Dec","Thu",7,"19","Hybrid"
"Eichenwalde",684,"BLUEJAY",2024-01-28,16:44:00,"N/A","Ana","Overwatch","N/A","Josiad","POSSIBLE RESIGHTING Infection Custom Watcher icon Endorsement 3 private profile",2024,"Jan","Sun",16,"44","Hybrid"
"Eichenwalde",237,"KINGJ",2023-07-20,15:03:00,NA,"Ashe","Overwatch","Top 500 Exterminator","Sqweryl","Ashe, Top 500 Exterminator",2023,"Jul","Thu",15,"03","Hybrid"
"Eichenwalde",474,"JPTROLL03",2023-12-06,20:01:00,"""this shit aint nothin to me man""","Ana","Overwatch","N/A","Seb","Deathmatch Eichenwalde",2023,"Dec","Wed",20,"01","Hybrid"
"Esperança",214,"Jace",2023-06-16,04:01:00,"""Jayce""","Sigma","Overwatch","Mercy's Angel","Seb","sigma player, esperanca",2023,"Jun","Fri",4,"01","Push"
"Esperança",914,"Ajandurah",2024-06-09,09:52:00,"N/A","Sojourn, Soldier: 76","Overwatch","Eldritch Nightmare","Seb","QP Garrosh icon Endorsement 3 Spike Spiegal namecard private profile",2024,"Jun","Sun",9,"52","Push"
"Esperança",751,"DJAn",2024-02-27,06:49:00,"N/A","Genji","Overwatch","N/A","Seb","Queue DM Overwatch Dark icon endorsement 2 private profile",2024,"Feb","Tue",6,"49","Push"
"Esperança",333,"Jtarts",2023-10-20,16:06:00,"""i'm really bad""","Sombra","Overwatch","Hero of the Light","Richard","Sombra, Hero of the light, esperanca, ana owl icon",2023,"Oct","Fri",16,"06","Push"
"Esperança",108,"JAYK47",2023-03-08,14:48:00,NA,"Baptiste","Overwatch","Titan","Vixx","Baptiste on Esperanca",2023,"Mar","Wed",14,"48","Push"
"Esperança",220,"JAYSCRILLIN",2023-06-18,13:56:00,NA,"Kiriko","Overwatch","Conquerer","Vixx","Kiriko Esperanca Conqueror, 2nd 2023-08-22",2023,"Jun","Sun",13,"56","Push"
"Esperança",37,"VayJay420",2022-10-25,14:18:00,NA,"Junkrat","Overwatch","N/A","Josiad","Payed Junkrat",2022,"Oct","Tue",14,"18","Push"
"Esperança",1007,"JTHM",2024-07-30,07:53:00,"""johnny the homicidal maniac its a comic made by the guy who did invader zim yuh"" """"well this is fun"" ""alright gg guys we lost one"" ""if only we could counter the ball"" ""ggwp"" ""yep that was embarassing""","Zenyatta","Overwatch","Mercy's Angel","Seb","Whiny baby Jay QP Pinkimari icon Endorsement 5 Rose Gold Mercy namecard Moira main",2024,"Jul","Tue",7,"53","Push"
"Esperança",239,"AKJ",2023-07-22,12:38:00,"""uhhhhhhhhhh""","Soldier","Overwatch","Bounty Hunter","Richard","Soldier Esperanca, Bounty Hunter, 2nd 2024-08-20 Midtown",2023,"Jul","Sat",12,"38","Push"
"Esperança",111,"JMAX",2023-03-11,09:46:00,"""lol""","N/A","Overwatch","None","Richard","Spotted on Esperanca, 2nd 2024-08-11 Runasapi",2023,"Mar","Sat",9,"46","Push"
"Esperança",629,"BNJ",2024-01-10,12:14:00,"""BALLS N JAW""","Hanzo, Sombra, Symmetra, Zenyatta","Overwatch","Underworld Guardian","Seb","Jaw variant Mystery Heroes",2024,"Jan","Wed",12,"14","Push"
"Esperança",633,"HpJ",2024-01-11,11:36:00,"N/A","Widowmaker, Tracer","Overwatch","N/A","Josiad","POSSIBLE SIGHTING #2/3 of 2023-12-31 and/or 2023-12-15 (Spelling was not clear previously) Maple Leaf icon Endorsement 3 Synthwave namecard private profile, Sighting 4 2024-02-26",2024,"Jan","Thu",11,"36","Push"
"Esperança",794,"Jbusiness",2024-03-21,17:43:00,"""gg""","Sombra","Overwatch","N/A","Richard","Comp",2024,"Mar","Thu",17,"43","Push"
"Esperança",634,"JDot",2024-01-11,11:50:00,"""how are you 0 - 5 my guy????"" ""hard to win 4v5 gg""","Rammatra","Overwatch","Prime Evil","Josiad","either quote was directed at me but this guy was bad, just wanted to make note of that since he was also toxic lol Cute Hanzo icon Endorsement 4 Onryō's Pets namecard private profile",2024,"Jan","Thu",11,"50","Push"
"Esperança",533,"Jayzo",2023-12-19,09:43:00,"N/A","Mauga","Overwatch","Prime Evil","Seb","",2023,"Dec","Tue",9,"43","Push"
"Esperança",517,"JAYJAYXXV",2023-12-15,10:55:00,"""rock""","N/A","Overwatch","Rogue","Seb","support",2023,"Dec","Fri",10,"55","Push"
"Esperança",1121,"JayB",2024-09-11,12:17:00,"N/A","Sombra","Overwatch","Eldritch Nightmare","Vixx","QP Anniversary 2017 icon Genos - Genji namecard",2024,"Sep","Wed",12,"17","Push"
"Esperança",1179,"JZoolas",2024-09-25,17:37:00,"N/A","N/A","Overwatch","None","Richard","Skirmish",2024,"Sep","Wed",17,"37","Push"
"Esperança",776,"JSMOOTH",2024-03-10,15:45:00,"""wtf""","Echo","Overwatch","N/A","Mac","SPELLING UNCONFIRMED QP, respotted 20241102 busan",2024,"Mar","Sun",15,"45","Push"
"Esperança",457,"AjHereAgain",2023-11-29,05:24:00,"""uh hi""""ok but why did i have to say hi?""""i'm confused but ok""","N/A","Overwatch","Extraterrestrial","Seb","Esperanca, Extraterrestrial",2023,"Nov","Wed",5,"24","Push"
"Hanamura",281,"DUBBYJ",2023-09-26,10:06:00,NA,"N/A","Overwatch","Streetrunner","Seb","Roadhog's Catch-a-mari, streetrunner",2023,"Sep","Tue",10,"06","Other"
"Hanaoka",838,"Jsmalls53",2024-04-18,15:00:00,"""can you dps do any damage at all""","Roadhog","Overwatch","Monstrosity","Vixx","Small dick Jay Clash QP, 2nd sighting 2024",2024,"Apr","Thu",15,"00","Clash"
"Hanaoka",1173,"adrianjcool",2024-09-23,17:10:00,"""At the end of the day it is night"" ""Sometimes you close your eyes and can't see""","Mauga","Overwatch","Master Open Challenger","Richard","Competitive open queue",2024,"Sep","Mon",17,"10","Clash"
"Hanaoka",1224,"JDD",2024-11-16,16:46:00,"N/A","Ana","Overwatch","Hashimoto Goon","Josiad","",2024,"Nov","Sat",16,"46","Clash"
"Havana",227,"YJ999",2023-06-24,11:44:00,NA,"Cassidy","Overwatch","N/A","Richard","Cass on Havana",2023,"Jun","Sat",11,"44","Payload"
"Havana",785,"ajk8934",2024-03-18,09:57:00,"N/A","Widowmaker, Genji","Overwatch","Magical Dragon","Seb","QP Hot Cocoa icon Endorsement 5 Nightfall Over Adlersbrunn namecard private profile",2024,"Mar","Mon",9,"57","Payload"
"Havana",258,"JJOMS",2023-09-04,15:42:00,NA,"Genji","Overwatch","Peasant","Richard","Havana, Genji, Peasant",2023,"Sep","Mon",15,"42","Payload"
"Havana",649,"CrackingJboy",2024-01-15,17:55:00,"""xbox gave me this gamertag 14 years ago and i refuse to change it""","Hanzo","Overwatch","Master of Minotaurs","verdantJay","",2024,"Jan","Mon",17,"55","Payload"
"Havana",601,"CJCool552",2024-01-02,14:16:00,"N/A","Mei","Overwatch","Bias Wrecker","Josiad","They left the game half way through",2024,"Jan","Tue",14,"16","Payload"
"Havana",174,"Jay3",2023-05-15,08:49:00,"""Spit on it and sit on it"" ""I Might be low in cum.... wait how does that saying go again?"" ""strap in strap on""","Widowmaker","Overwatch","Assassin","Richard","Spotted Havana, very sexual man. 2nd sighting 2023-10-14 Midtown, 3rd 2024-06-25 Workshop Chamber, 4th 2024-08-17",2023,"May","Mon",8,"49","Payload"
"Havana",1046,"DJBunny",2024-08-12,05:20:00,"""no but I am a real bunny"" ""eating real hay rn""","Illari, Mercy","Overwatch","None","Seb","Real bunny Jay Goldrat icon Endorsement 4 Toronto namecard Junkrat main",2024,"Aug","Mon",5,"20","Payload"
"Havana",391,"JHOSAD",2023-11-16,04:16:00,"""j hoe sad""","Widowmaker","Overwatch","None","Seb","Widow, Havana, no nametag",2023,"Nov","Thu",4,"16","Payload"
"Havana",253,"CJRook43",2023-09-02,17:35:00,"""obamacare? he sure does"" ""WE SMOKING THOSE WICKEN JORDANIAN JIBBETS"" ""WE SMOKING SEQUOIA BANSHEE BOOGERS""","N/A","Overwatch","N/A","Richard","Havana",2023,"Sep","Sat",17,"35","Payload"
"Havana",143,"JayOnJupiter",2023-04-09,16:53:00,"""what about rasman""","N/A","Overwatch","Master Challenger","Richard","Havana, 2nd 09-Jul-2023",2023,"Apr","Sun",16,"53","Payload"
"Havana",1067,"RuthlessJJ",2024-08-17,13:50:00,"N/A","N/A","Overwatch","None","Richard","QP Top 500 icon Endorsement 3 Strawberry Shortcake namecard Junkrat main",2024,"Aug","Sat",13,"50","Payload"
"Havana",185,"Jmoe",2023-05-22,16:58:00,"""hello""","N/A","Overwatch","Mortal","Richard","Found in Havana",2023,"May","Mon",16,"58","Payload"
"Havana",877,"Jrob",2024-05-18,16:08:00,"""boobs""","Ramattra","Overwatch","Peasant","Richard","QP cultured Jay",2024,"May","Sat",16,"08","Payload"
"Havana",1003,"JDL",2024-07-28,10:16:00,"N/A","Sigma","Overwatch","Mortal","Richard","Silent Thrower Salty Jay Comp, 2nd spotting 20241123 Malevento",2024,"Jul","Sun",10,"16","Payload"
"Havana",1094,"jpeg2thehead",2024-09-01,18:29:00,"N/A","Wrecking Ball","Overwatch","Philosopher","Richard","Comp Ein icon Endorsement 3 Mari Friends namecard Ball main",2024,"Sep","Sun",18,"29","Payload"
"Havana",397,"JDLina",2023-11-17,12:24:00,"""what""","Roadhog","Overwatch","Harbinger","Seb","Hog, Havana, Harbinger",2023,"Nov","Fri",12,"24","Payload"
"Havana",894,"Ajaye",2024-05-28,04:50:00,"N/A","Reinhardt","Overwatch","N/A","Seb","Queue Skirmish Witch's Hat icon Endorsement 3 private profile",2024,"May","Tue",4,"50","Payload"
"Havana",235,"JAYSWAN",2023-07-17,15:13:00,NA,"Ashe","Overwatch","Barbarian","Vixx","Ashe Havana, Barbarian",2023,"Jul","Mon",15,"13","Payload"
"Havana",353,"BlueJayCAM",2023-10-30,14:10:00,"""no""","N/A","Overwatch","Peasant","Richard","Peasant, Havana tank player, 2nd Shambali Monastery 2023-11-22, 3rd 2023-12-07",2023,"Oct","Mon",14,"10","Payload"
"Havana",1126,"PorcupinePĴs",2024-09-13,10:06:00,"""hand banana""","Zenyatta","Overwatch","Trickster","Seb","left right before we won",2024,"Sep","Fri",10,"06","Payload"
"Hollywood",584,"JTweaver",2023-12-30,19:12:00,"N/A","N/A","Overwatch","Nomad","Seb","Queue DM Hangzhou Spark icon Endorsement 2 Mitzi and Friends namecard private profile",2023,"Dec","Sat",19,"12","Hybrid"
"Hollywood",772,"GlitchJH",2024-03-07,05:16:00,"""gg""","Pharah","Overwatch","Rebel","Seb","QP Auxton icon Endorsement 3 Black Metal namecard plat 1 Tank plat 2 Damage diamond 4 support",2024,"Mar","Thu",5,"16","Hybrid"
"Hollywood",452,"FINKLEJMONEY",2023-11-28,NA,"""fuck you i eat your face""","Moira","Overwatch","None","Seb","no name tag, moira, skirmish, hollywood",2023,"Nov","Tue",NA,NA,"Hybrid"
"Hollywood",121,"XJ9",2023-03-22,18:12:00,NA,"N/A","Overwatch","N/A","Richard","TDM",2023,"Mar","Wed",18,"12","Hybrid"
"Hollywood",1226,"Jwaren",2024-11-18,07:19:00,"N/A","Lucio","Overwatch","None","Seb","OW CLassic",2024,"Nov","Mon",7,"19","Hybrid"
"Hollywood",680,"JayxCray",2024-01-27,09:17:00,"N/A","Moira","Overwatch","Pack Animal","Seb","Queue Skirmish Halloween Terror 2023 icon Endorsement 5 Pansexual Pride namecard private profile",2024,"Jan","Sat",9,"17","Hybrid"
"Hollywood",1241,"jbake",2024-11-29,11:40:00,"N/A","Tracer","Overwatch","None","Richard","",2024,"Nov","Fri",11,"40","Hybrid"
"Hollywood",1016,"JTpickleboy",2024-08-02,11:25:00,"N/A","Illari","Overwatch","Nulltrooper","Seb","Queue Skirmish Ultrawatch Reaper icon Endorsement 4 Sentai Squad namecard private profile",2024,"Aug","Fri",11,"25","Hybrid"
"Hollywood",526,"jzwolfman",2023-12-17,15:40:00,"""gg""","Ana","Overwatch","Hero Master","Richard","Cat icon and namecard endorsement 4, 2nd sighting 2023-12-28",2023,"Dec","Sun",15,"40","Hybrid"
"Hollywood",749,"BigcjDog",2024-02-27,04:14:00,"N/A","Junkrat","Overwatch","Behemoth","Seb","QP Pachiduri icon Endorsement 3 Cosmic Codex namecard gold 2 Damage gold 4 Support",2024,"Feb","Tue",4,"14","Hybrid"
"Hollywood",565,"Queue DM Junkrat Silhouette icon Endorsement 1 Junkrat - tier 2 namecard GM 3 Combined diamond 2 Tank GM 4 Damage Rat main, 2nd sighting 2024-04-13 QP Junkertown, 3rd 2024-11-12",2023-12-28,06:37:00,"N/A","N/A","Overwatch","Assassin","Seb","Queue DM Junkrat Silhouette icon Endorsement 1 Junkrat - tier 2 namecard GM 3 Combined diamond 2 Tank GM 4 Damage Rat main, 2nd sighting 2024-04-13 QP Junkertown",2023,"Dec","Thu",6,"37","Hybrid"
"Hollywood",314,"jayberri",2023-10-12,15:44:00,NA,"N/A","Overwatch","N/A","Richard","Custom game",2023,"Oct","Thu",15,"44","Hybrid"
"Hollywood",145,"QTJay",2023-04-16,17:21:00,NA,"Mercy","Overwatch","N/A","Richard","Found in flappy mercy",2023,"Apr","Sun",17,"21","Hybrid"
