"ID","Username","Date","Time","Quote","Hero","Game","Map","Player.Title","Spotted.by","Notes","Year","Month","Day","Hour","Minute"
924,"Jay_bandopr",2024-06-12,15:25:00,"N/A","Super Saiyan Rosé Goku Black","Fortnite","Plankerton Forest","N/A","Seb","Retrieve the Data PWO",2024,"Jun","Wed",15,"25"
925,"xxx JT 24 xxx",2024-06-13,04:53:00,"N/A","Catwoman Zero","Fortnite","C5S3 Main Stage","N/A","Seb","Vocals",2024,"Jun","Thu",4,"53"
926,"JayLo13",2024-06-13,10:07:00,"N/A","Ashe","Overwatch","Workshop Chamber","Doppelganger","Seb","1 Dad 11 Kids Custom Goldrat Endorsement 3 Longhorn namecard private profile",2024,"Jun","Thu",10,"07"
927,"CoolJ_226",2024-06-13,16:25:00,"N/A","Kirk Hammet","Fortnite","C5S3 BR Island","N/A","Seb","Eliminated Jay Zero Build Trios",2024,"Jun","Thu",16,"25"
928,"Jay15834",2024-06-14,04:05:00,"N/A","Expressionist Montague","Fortnite","C5S3 Jam Stage","N/A","Seb","Fortnite Festival Jam Stage Return of the Tiger Vocals",2024,"Jun","Fri",4,"05"
929,"jvmhfjdo",2024-06-14,10:14:00,"N/A","Hades","Fortnite","C5S3 Battle Stage","N/A","Seb","Fortnite Festival Battle Stage Gangnam Style Vocals",2024,"Jun","Fri",10,"14"
930,"jay-on-_60-_-Fps",2024-06-14,10:18:00,"N/A","Travis Scott","Fortnite","C5S3 Battle Stage","N/A","Seb","Fortnite Festival Battle Stage Mr. Brightside Vocals",2024,"Jun","Fri",10,"18"
931,"TheJBagle",2024-06-14,10:39:00,"N/A","First Form Cell","Fortnite","C5S3 Battle Stage","N/A","Seb","Fortnite Festival Battle Stage California Girls Lead",2024,"Jun","Fri",10,"39"
932,"jberts13",2024-06-14,14:13:00,"N/A","Zarya","Overwatch","New Junk City","Neogun","Vixx","Comp",2024,"Jun","Fri",14,"13"
933,"pro123j",2024-06-14,14:13:00,"N/A","Venture","Overwatch","New Junk City","N/A","Vixx","Comp same game as previous Jay",2024,"Jun","Fri",14,"13"
934,"ANYAITOPJ",2024-06-16,12:23:00,"N/A","Koga","Paladins","Bazaar","Mr. Money Bags","Vixx","Siege",2024,"Jun","Sun",12,"23"
935,"omarj1504",2024-06-17,03:23:00,"N/A","Chrome Punk","Fortnite","C5S3 Battle Stage","N/A","Seb","Fortnite Festival Battle Stage Heathens Vocals",2024,"Jun","Mon",3,"23"
936,"j2AMjereimah",2024-06-17,12:05:00,"N/A","Hypersonic","Fortnite","C5S3 BR Island","N/A","Seb","Comp Zero Build Solo Plat 3",2024,"Jun","Mon",12,"05"
937,"AMJDigital20",2024-06-18,10:38:00,"N/A","Lara Croft","Fortnite","C5S3 BR Island","N/A","Seb","Comp Zero Build Solo Diamond 2",2024,"Jun","Tue",10,"38"
938,"JKhaldroG0",2024-06-18,16:48:00,"N/A","Heartless Pharaoh Lillith","Fortnite","Serpent Beach","Here for the Violence and Vibes","Vixx","Siege",2024,"Jun","Tue",16,"48"
939,"JayMB2005",2024-06-19,04:19:00,"N/A","Puppet Master Kirk","Fortnite","C5S3 Jam Stage","N/A","Seb","Fortnite Jam Stage MakeDamnSure Drums",2024,"Jun","Wed",4,"19"
940,"TJ Music ",2024-06-19,04:30:00,"N/A","Underworld Desdemona","Fortnite","C5S3 Jam Stage","N/A","Seb","Fortnite Jam Stage Feel Good Inc. Drums ",2024,"Jun","Wed",4,"30"
941,"JLSChargers",2024-06-19,06:42:00,"N/A","Nick Eh 30","Fortnite","C5S3 BR Island","N/A","Seb","Comp BR Solo Plat 2",2024,"Jun","Wed",6,"42"
942,"SJ_racer91",2024-06-19,06:57:00,"N/A","Blaze","Fortnite","C5S3 BR Island","N/A","Seb","Comp BR Solo Plat 3",2024,"Jun","Wed",6,"57"
943,"ERJWOO2",2024-06-19,12:16:00,"N/A","Jonesy the Secondst","Fortnite","C5S3 BR Island","N/A","Seb","Comp BR Solo Plat 2",2024,"Jun","Wed",12,"16"
944,"AGENT JAYBOT7",2024-06-19,12:30:00,"N/A","Crystal","Fortnite","C5S3 BR Island","N/A","Seb","Comp BR Solo Plat 2",2024,"Jun","Wed",12,"30"
945,"Antonio_C217J",2024-06-19,12:37:00,"N/A","Poseidon","Fortnite","C5S3 BR Island","N/A","Seb","Comp BR Solo Plat 2",2024,"Jun","Wed",12,"37"
946,"Jmartin00",2024-06-20,08:29:00,"N/A","Mercy","Overwatch","Antarctic Peninsula ","Medic","Seb","QP Mercy Mastery icon Endorsement 4 Mercy Mastery namecard Mercy main",2024,"Jun","Thu",8,"29"
947,"Leredjjx",2024-06-20,09:21:00,"N/A","Tracer","Overwatch","Workshop Chamber","Overwatch Agent","Seb","1 Dad 11 Kids Custom Bewitching icon Endorsement 5 Llama Pajamas namecard private profile",2024,"Jun","Thu",9,"21"
948,"jdogw",2024-06-20,09:55:00,"N/A","Illari","Overwatch","Samoa","N/A","Seb","Skirmish Cute Genji icon Endorsement 2 Sakura namecard private profile",2024,"Jun","Thu",9,"55"
949,"Jay",2024-06-20,10:18:00,"N/A","Ana, Mercy","Overwatch","Hollywood (Night)","N/A","Seb","QP did not reply if they were a previous Jay Genji Mastery icon Endorsement 3 Junkertown Ninja namecard private profile",2024,"Jun","Thu",10,"18"
950,"AJTKDBB7",2024-06-21,17:57:00,"N/A","Mauga","Overwatch","Runasapi","N/A","Seb","Candy Clicker RPG Custom Ashe Silhouette icon Endorsement 4 Quest Board namecard private profile",2024,"Jun","Fri",17,"57"
951,"EjDaDood",2024-06-22,16:51:00,"N/A","Sojourn","Overwatch","New Queen Street","N/A","Vixx","QP",2024,"Jun","Sat",16,"51"
952,"JPROGO1",2024-06-23,15:29:00,"N/A","Princess Felicity Fish","Fortnite","Reload Island","N/A","Seb","Reload Zero Build Squads",2024,"Jun","Sun",15,"29"
953,"jjjwyatt",2024-06-24,04:24:00,"N/A","Oxidize Rust (Helmet)","Fortnite","C5S3 Battle Stage","N/A","Seb","Fortnite Festival Battle Stage Lux Æterna Lead",2024,"Jun","Mon",4,"24"
954,"cjdino97",2024-06-24,09:51:00,"N/A","Ocean","Fortnite","C5S3 BR Island","N/A","Seb","Comp BR Solo Plat 3",2024,"Jun","Mon",9,"51"
955,"Byron20_JK10",2024-06-24,10:34:00,"N/A","Renzo the Destroyer","Fortnite","C5S3 Battle Stage","N/A","Seb","Fortnite Festival Battle Stage Ride the Lightning Lead",2024,"Jun","Mon",10,"34"
956,"JeezArjay",2024-06-24,14:31:00,"""gg""","Moira","Overwatch","Colosseo","Neogun","Vixx","QP Overwatch Dark icon",2024,"Jun","Mon",14,"31"
957,"hyperjr0401",2024-06-25,04:41:00,"N/A","Camo Jolly Jammer","Fortnite","C5S3 BR Island","N/A","Seb","Comp BR Solo Gold 3",2024,"Jun","Tue",4,"41"
958,"jay",2024-06-25,09:45:00,"""i hate this game""","Ana","Overwatch","Blizzard World","Talon Operative","Vixx","QP unclear if previous Jay Rose Gold Mercy Silhouette icon Kiriko - Tier 3 namecard ",2024,"Jun","Tue",9,"45"
959,"jswizzle51",2024-06-25,17:30:00,"N/A","Mercy","Overwatch","Workshop Island","N/A","Seb","Mercy Boxing Custom Cute D.Va icon Endorsement 3 private profile",2024,"Jun","Tue",17,"30"
960,"SSjScrubz",2024-06-26,18:20:00,"N/A","Off the Map Explorer Emilie (Hat)","Fortnite","BB Suburbs","N/A","Seb","Build the Radar Grid Venture",2024,"Jun","Wed",18,"20"
961,"Jsir67",2024-06-26,05:37:00,"N/A","Mauga","Overwatch","Junkertown","Medic","Vixx","Community Crafted Puhyu icon Inextinguishable namecard",2024,"Jun","Wed",5,"37"
962,"Jcowan420",2024-06-26,13:25:00,"N/A","Finesse Finisher","Fortnite","C5S3 Battle Stage","N/A","Seb","Fortnite Festival Battle Stage For Whom the Bell Tolls Lead",2024,"Jun","Wed",13,"25"
963,"Jbo432",2024-06-26,16:26:00,"N/A","Lynx Stage 1 Black","Fortnite","Reload Island","N/A","Seb","Fortnite: Reload Duos",2024,"Jun","Wed",16,"26"
964,"J-F-Monty",2024-06-30,02:47:00,"N/A","Neon Hazard Machinist","Fortnite","C5S3 Battle Stage","N/A","Seb","Fortnite Festival Battle Stage Changes Drums",2024,"Jun","Sun",2,"47"
965,"kungfuj_esus2000",2024-07-03,15:28:00,"N/A","Gold Foil Wolverine","Fortnite","Twine Peaks","N/A","Seb","Fight Category 3 Storm V-bucks",2024,"Jul","Wed",15,"28"
966,"Jmaimai51",2024-07-04,04:04:00,"N/A","Junkrat","Overwatch","Workshop Chamber","N/A","Seb","1 Dad 11 Kids Custom Cute D.Va icon Endorsement 2 Mitzi and Friends namecard private profile",2024,"Jul","Thu",4,"04"
967,"JSpiderBR",2024-07-04,04:07:00,"N/A","Mercy","Overwatch","Workshop Chamber","N/A","Seb","1 Dad 11 Kids Custom Seoul Dynasty icon Endorsement 1 Aztec namecard private profile",2024,"Jul","Thu",4,"07"
968,"DjGreenGuy",2024-07-04,04:13:00,"N/A","Mercy","Overwatch","Nepal","N/A","Seb","Mercy Parkour (difficult) Custom Overwatch Dark icon Endorsement 2 private profile",2024,"Jul","Thu",4,"13"
969,"ForgiveTJ_YT",2024-07-04,06:10:00,"N/A","Poised Playmaker (Argentina)","Fortnite","C5S3 BR Island","N/A","Seb","Comp Zero Build Solo Gold 3",2024,"Jul","Thu",6,"10"
970,"Jlo_672",2024-07-04,07:28:00,"N/A","Sparkplug","Fortnite","C5S3 BR Island","N/A","Seb","Comp Battle Royale Solo Plat 3",2024,"Jul","Thu",7,"28"
971,"Jay",2024-07-04,16:23:00,"""what does this mean"" ""gotcha did you ask me a long survey or no"" ""yes love you guys fr"" ""i cant put jj so i put jay""","Winston","Overwatch","Watchpoint: Gibralter","N/A","Vixx","Previously catalogued Jay (unsure which one) QP, 2nd sighting 2024-07-04 Paraiso",2024,"Jul","Thu",16,"23"
972,"JBposada",2024-07-05,12:16:00,"N/A","Moira","Overwatch","Ilios","N/A","Vixx","QP",2024,"Jul","Fri",12,"16"
973,"jfSora",2024-07-06,06:52:00,"N/A","Cosmic Mal'Damba","Paladins","Ice Mines","The Hand of Justice","Vixx","Siege",2024,"Jul","Sat",6,"52"
974,"i360noscopeJFK",2024-07-06,13:53:00,"N/A","Evil Spirit Kasumi","Paladins","Brightmarsh","You've No Doubt Heard of Me","Vixx","Siege",2024,"Jul","Sat",13,"53"
975,"j8hnb",2024-07-08,15:55:00,"N/A","Digital Ghost Night Hunter Scarr","Fortnite","BB Ghost Town","N/A","Seb","Repair the Shelter Venture",2024,"Jul","Mon",15,"55"
976,"DJWOLFHY",2024-07-08,17:02:00,"N/A","D.Va","Overwatch","Malevento","Streetrunner","Seb","Queue DM Rat King icon Endorsement 5 Sky Centurion namecard private profile",2024,"Jul","Mon",17,"02"
977,"JJcrackers!",2024-07-09,18:10:00,"""what the sigma"" ""i got it""","Junker Queen","Overwatch","Ilios","Grandmaster Tank","Richard","QP Lanternmari icon Endorsement 2 Junker Queen - Stage 3 namecard,  09/11/2024,  09/12/2024",2024,"Jul","Tue",18,"10"
978,"Trill jr2558",2024-07-10,05:02:00,"N/A","Errant","Fortnite","C5S3 Jam Stage","N/A","Seb","Fortnite Festival Jam Stage MakeDamnSure Drums",2024,"Jul","Wed",5,"02"
979,"Jae",2024-07-11,18:13:00,"""i have nothing to say""","Mercy","Overwatch","Lijiang Tower","Acolyte of Medusa","Richard","New Jae Jay QP",2024,"Jul","Thu",18,"13"
980,"JQ23",2024-07-11,18:13:00,"N/A","Orisa","Overwatch","Lijiang Tower","N/A","Richard","Same match as above Jae ",2024,"Jul","Thu",18,"13"
981,"DJ Raphy3703",2024-07-13,16:35:00,"N/A","Aura","Fortnite","C5S3 BR Island","N/A","Seb","Comp Zero Build Solo Plat 3",2024,"Jul","Sat",16,"35"
982,"Eroz_JT",2024-07-13,16:35:00,"N/A","Digital Ghost Machinst","Fortnite","C5S3 BR Island","N/A","Seb","Comp Zero Build Solo Plat 2",2024,"Jul","Sat",16,"35"
983,"JHNRL",2024-07-14,14:35:00,"N/A","Subjugator Raum","Paladins","Bazaar","Is Channeling Their Ki","Vixx","Siege",2024,"Jul","Sun",14,"35"
984,"Jay123",2024-07-14,10:22:00,"N/A","Lifeweaver","Overwatch","New Queen Street","N/A","Seb","Queue Skirmish The Witch icon Endorsement 4 Nightfall Over Adlersbrunn namecard private profile",2024,"Jul","Sun",10,"22"
985,"tenaciousj12",2024-07-17,16:23:00,"N/A","Captain America","Fortnite","C5S3 BR Island","N/A","Seb","Comp Zero Build Solo Plat 2",2024,"Jul","Wed",16,"23"
986,"Jflame",2024-07-18,18:23:00,"""gotchu"" ""would you rather eat a baby goat or a matter baby?""","Ashe","Overwatch","Ilios","World Eater","Richard","QP",2024,"Jul","Thu",18,"23"
987,"jreads",2024-07-18,05:28:00,"""hero of our time""","Sombra","Overwatch","Kanezaka","Assassin","Seb","Book enjoyer Jay Queue DM Deadeye icon Endorsement 4 Cassidy - Level 2 namecard gold 4 Damage Cass main",2024,"Jul","Thu",5,"28"
988,"BJM",2024-07-18,05:37:00,"N/A","Tracer","Overwatch","Hollywood","N/A","Seb","Queue Skirmish Overwatch Dark icon Endorsement 3 private profile",2024,"Jul","Thu",5,"37"
989,"jrempe78",2024-07-18,05:45:00,"N/A","Sojourn","Overwatch","Samoa","N/A","Seb","Queue Skirmish Overwatch Dark icon Endorsement 1 private profile",2024,"Jul","Thu",5,"45"
990,"JHDG25",2024-07-18,15:40:00,"N/A","Death-Goddess Lian","Paladins","Frozen Guard","Wekono's Chosen","Vixx","Siege",2024,"Jul","Thu",15,"40"
991,"Ajh12356",2024-07-18,16:16:00,"N/A","IO","Paladins","Frozen Guard","Ruler of the Sandcastle","Vixx","Siege",2024,"Jul","Thu",16,"16"
992,"RAVENJAY",2024-07-19,17:01:00,"N/A","Juno","Overwatch","N/A","Hashimoto Goon","Vixx","SPELLING UNCONFIRMED 6v6 Custom Cerberus icon Mitzi and Friends namecard",2024,"Jul","Fri",17,"01"
993,"JDash",2024-07-19,17:12:00,"""wat""","Juno","Overwatch","Rialto","Platinum Tank","Richard","Josiah Jay QP",2024,"Jul","Fri",17,"12"
994,"alexjwasright",2024-07-20,11:19:00,"N/A","Maeve","Paladins","Shattered Desert","N/A","Vixx","Siege",2024,"Jul","Sat",11,"19"
995,"DJblendz",2024-07-21,17:18:00,"N/A","Hanzo","Overwatch","Workshop Island","Easy Prey","Seb","Gun Game No CD Custom Chengdu Hunters icon Endorsement 4 Hanzo - Tier 2 namecard private profile",2024,"Jul","Sun",17,"18"
996,"JayPlayboii",2024-07-21,17:22:00,"""damage damage damage""","Zenyatta","Overwatch","New Junk City","Angel of Vengeance","Richard","QP",2024,"Jul","Sun",17,"22"
997,"jtb33z",2024-07-21,17:32:00,"N/A","Sombra","Overwatch","Nepal","Nomad","Seb","Queue Skirmish Sombra Endorsement 2 private profile",2024,"Jul","Sun",17,"32"
998,"Jay",2024-07-21,17:40:00,"""Sebbo"" ""what? logged?""","Brigitte","Overwatch","Petra","Angel of Vengeance","Seb","Unique Jay QP DM 2019 Atlantic All-Stars icon Endorsement 4 Celestial namecard diamond 3 Tank diamond 4 Damage diamond 1 Support Tracer main",2024,"Jul","Sun",17,"40"
999,"JRose",2024-07-22,17:37:00,"""GG""","Hanzo, Junkrat, Soldier: 76","Overwatch","Malevento","Assassin","Seb","Queue DM Halloween Terror 2021 icon Endorsement 3 Moira - Tier 3 namecard Moira main, 2nd 2024-07-22",2024,"Jul","Mon",17,"37"
1000,"JSHORE",2024-07-23,14:15:00,"N/A","Mercy","Overwatch","Dorado","Technoknight","Richard","QP ",2024,"Jul","Tue",14,"15"
1001,"JJDAWG",2024-07-23,17:26:00,"N/A","Hanzo","Overwatch","New Queen Street","N/A","Seb","Queue Skirmish Port-de-Paix icon Endorsement 4 Harbinger namecard private profile",2024,"Jul","Tue",17,"26"
1002,"tomatoJJ",2024-07-27,17:13:00,"N/A","Raum","Paladins","Frozen Guard","The Absolute Madman","Vixx","Siege",2024,"Jul","Sat",17,"13"
1003,"JDL",2024-07-28,10:16:00,"N/A","Sigma","Overwatch","Havana","Mortal","Richard","Silent Thrower Salty Jay Comp, 2nd spotting 20241123 Malevento",2024,"Jul","Sun",10,"16"
1004,"JNayha",2024-07-28,11:16:00,"N/A","Buck","Paladins","Snowfall Junction","Here for the Violence and Vibes","Vixx","Trash Buck Jay TDM",2024,"Jul","Sun",11,"16"
1005,"Μ∝LνιηΤJ",2024-07-28,11:45:00,"N/A","Bewitching Evie","Paladins","Snowfall Junction","N/A","Vixx","Onslaught, 2ND 2024-08-05 Magistrate's archives",2024,"Jul","Sun",11,"45"
1006,"Fj1x1 ",2024-07-30,07:43:00,"N/A","Venture","Overwatch","Workshop Island (Night)","Sentai","Seb","Gun Game No CD Custom Junkrat Silhouette icon Endorsement 3 Junkrat - Tier 2 namecard private profile",2024,"Jul","Tue",7,"43"
1007,"JTHM",2024-07-30,07:53:00,"""johnny the homicidal maniac its a comic made by the guy who did invader zim yuh"" """"well this is fun"" ""alright gg guys we lost one"" ""if only we could counter the ball"" ""ggwp"" ""yep that was embarassing""","Zenyatta","Overwatch","Esperança","Mercy's Angel","Seb","Whiny baby Jay QP Pinkimari icon Endorsement 5 Rose Gold Mercy namecard Moira main",2024,"Jul","Tue",7,"53"
1008,"JAYHILL",2024-07-31,12:15:00,"N/A","Widowmaker","Overwatch","Blizzard World","N/A","Seb","Queue DM Porsche Pharah icon Endorsement 3 Porsche Flight namecard plat 5 Tank Damage gold 1 Support Pharah main",2024,"Jul","Wed",12,"15"
1009,"Ajay",2024-08-01,09:00:00,"""? the what ??"" ""pharah threw""","Zarya","Overwatch","New Junk City","Medic","Seb","New Ajay Jay QP icon Endorsement 5 namecard private profile",2024,"Aug","Thu",9,"00"
1010,"JRom",2024-08-01,09:31:00,"""hello!"" ""no, you followed up on my dives and made great calls i definitely got carried ""ditto"" ""we got rid of some ults"" ""gg i got carried well played""","Winston","Overwatch","Route 66","All-Star","Seb","Friendly Jay QP Snowman icon Endorsement 3 Queen Cobra namecard private profile",2024,"Aug","Thu",9,"31"
1011,"BrothaEj",2024-08-02,13:58:00,"N/A","Ashe, Cassidy","Overwatch","Ilios","N/A","Seb","QP Funky icon Endorsement 3 Soldier: 76 main",2024,"Aug","Fri",13,"58"
1012,"ajc5505",2024-08-02,18:00:00,"N/A","Doomfist","Overwatch","Shambali Monastary","N/A","Seb","Doomfist Parkour Custom Masquerade icon Endorsement 3 private profile",2024,"Aug","Fri",18,"00"
1013,"JJ98765",2024-08-02,18:00:00,"N/A","Doomfist","Overwatch","Shambali Monastary","Retro Hero","Seb","Doomfist Parkour Custom United States of America icon Endorsement 5 Ana - Tier 2 namecard Ana main",2024,"Aug","Fri",18,"00"
1014,"StPedrosBJ",2024-08-02,18:51:00,"N/A","Rammatra","Overwatch","Workshop Island","N/A","Seb","Gun Game No CD Custom Overwatch Dark icon Endorsement 4 private profile",2024,"Aug","Fri",18,"51"
1015,"JJCLARKE9MM",2024-08-02,05:30:00,"N/A","Reinhardt","Overwatch","Workshop Island","Neogun","Seb","Gun Game No CD Custom Cassidy icon Endorsement 4 private profile",2024,"Aug","Fri",5,"30"
1016,"JTpickleboy",2024-08-02,11:25:00,"N/A","Illari","Overwatch","Hollywood","Nulltrooper","Seb","Queue Skirmish Ultrawatch Reaper icon Endorsement 4 Sentai Squad namecard private profile",2024,"Aug","Fri",11,"25"
1017,"Jbomb",2024-08-03,05:10:00,"N/A","Roadhog","Overwatch","Ilios Well","Retro Hero","Seb","12 Hooks 1 Hole Custom Puhyu icon Endorsement 4 ANTIFRAGILE Dazzle namecard private profile",2024,"Aug","Sat",5,"10"
1018,"TJCB2321",2024-08-03,06:23:00,"N/A","Spectra Knight","Fortnite","C5S3 BR Island","N/A","Seb","Zero Build Squads Unranked",2024,"Aug","Sat",6,"23"
1019,"JRB27",2024-08-04,05:38:00,"""thanks""","Orisa, Wrecking Ball","Overwatch","Nepal","Scholar","Richard","Silent bastard Jay QP NUMBA ONE THOUSAND BABY WE MADE IT, 2nd 2024-08-31 Blizzard World",2024,"Aug","Sun",5,"38"
1020,"Jaerixion",2024-08-04,06:41:00,"N/A","Pharah, Ashe","Overwatch","New Junk City","Stalwart Hero","Seb","OWWC USA icon Endorsement 3 Slime Caves namecard private profile",2024,"Aug","Sun",6,"41"
1021,"XPlayer101J",2024-08-05,08:55:00,"N/A","Junkrat, Pharah","Overwatch","Nepal","Scholar","Seb","QP Winter Wonderland 2022 icon Endorsement 2 Mari Friends namecard private profile",2024,"Aug","Mon",8,"55"
1022,"Jazzyjbomb",2024-08-05,12:31:00,"""elite agent from the season 3 battle pass yeah""","Elite Agent (Helmet)","Fortnite","BB Thunder Route 99","N/A","Seb","Destroy the Encampments Venture",2024,"Aug","Mon",12,"31"
1023,"TJRUNNER",2024-08-05,14:55:00,"N/A","Hanzo","Overwatch","Eichenwalde","N/A","Vixx","SPELLING UNCONFIRMED QP",2024,"Aug","Mon",14,"55"
1024,"JHabby09",2024-08-05,15:29:00,"N/A","Airie","Fortnite","BB Ghost Town","N/A","Seb","Rescue the Survivors Venture",2024,"Aug","Mon",15,"29"
1025,"JMU",2024-08-05,15:51:00,"""snap?"" ""*fist bump*""","Abomination","Marvel Snap","Washington D.C.","Brawling Since '63","Seb","Tie game",2024,"Aug","Mon",15,"51"
1026,"jjtooslick",2024-08-06,10:45:00,"N/A","Reaper","Overwatch","Paris","N/A","Seb","Queue DM Crimson Clown icon Endorsement 1 The Dead Hunger namecard private profile",2024,"Aug","Tue",10,"45"
1027,"JayDub",2024-08-06,11:12:00,"""gg""","Venture, Sombra","Overwatch","Colosseo","Kaiju","Seb","QP Copa Lúcioball Competitor 2021 icon Endorsement 4 Cerberus namecard Lifeweaver main",2024,"Aug","Tue",11,"12"
1028,"jhjhsd",2024-08-06,15:22:00,"N/A","Outlaw Sha Lin","Paladins","Primal Court","Has Seen Some Things","Vixx","Onslaught, 2ND 2024-08-06 Magistrate's archives",2024,"Aug","Tue",15,"22"
1029,"Mjroxus",2024-08-06,15:32:00,"N/A","Yagorath","Paladins","Ascension Peak","N/A","Vixx","Siege",2024,"Aug","Tue",15,"32"
1030,"Tctj",2024-08-07,11:13:00,"N/A","Forge","Marvel Snap","Altar of Death","N/A","Seb","Retreated",2024,"Aug","Wed",11,"13"
1031,"SleepyJCG",2024-08-07,14:51:00,"N/A","Jenos","Paladins","Throne","Wekono's Chosen","Vixx","TDM",2024,"Aug","Wed",14,"51"
1032,"pboyjlf",2024-08-07,15:07:00,"N/A","Androxus","Paladins","Dragon Arena","The Ugly","Vixx","TDM",2024,"Aug","Wed",15,"07"
1033,"jtwrexz ",2024-08-08,04:58:00,"N/A","Sombra","Overwatch","Kanezaka","N/A","Seb","Chat-suspended Jay Queue DM ",2024,"Aug","Thu",4,"58"
1034,"JJOSIAH",2024-08-08,14:59:00,"N/A","Rammatra","Overwatch","Runasapi","Decepticon Gladiator","Richard","SPELLING UNCONFIRMED Custom ",2024,"Aug","Thu",14,"59"
1035,"AREJAY",2024-08-08,15:31:00,"N/A","Reinhardt","Overwatch","Route 66","N/A","Richard","SPELLING UNCONFIRMED Infection Custom",2024,"Aug","Thu",15,"31"
1036,"djtrent",2024-08-09,07:25:00,"""I don't believe you.""","Miles Morales Spider-Man","Marvel Snap","The Bifrost","Can't Vote, Can Save the Universe","Seb","Destroy/Discard deck winner",2024,"Aug","Fri",7,"25"
1037,"Jay",2024-08-09,07:34:00,"N/A","SHIELD Agent","Marvel Snap","Project Pegasus","N/A","Seb","Mover deck winner, 2nd 2024-08-20 Cloning Vats, 3rd 2024-09-06 Onslaught's Citadel",2024,"Aug","Fri",7,"34"
1038,"Jzed04",2024-08-10,03:35:00,"N/A","Sombra","Overwatch","Paris","Easy Prey","Seb","Queue DM Goldrat icon Endorsement 4 Junkrat - Tier 3 namecard private profile",2024,"Aug","Sat",3,"35"
1039,"jmpword",2024-08-10,03:46:00,"""nothing lol i thought it sounded not bad"" ""glhf gg]""","Mora","Overwatch","Colosseo","Chaos Bringer","Seb","QP Halloween Terror 2023 icon Endorsement 4 Lesbian Pride namecard private profile",2024,"Aug","Sat",3,"46"
1040,"SSJxBOE",2024-08-10,14:55:00,"N/A","Yagorath","Paladins","Dawnforge","N/A","Vixx","Siege",2024,"Aug","Sat",14,"55"
1041,"JoshuawithJFK",2024-08-11,08:30:00,"N/A","N/A","Overwatch","Runasapi","Minion","Richard","Spectator Jay Anniversary 2018 icon Endorsement 4 Zero to Sixty namecard plat 5 Tank diamond 4 Damage plat 2 Support Zen main",2024,"Aug","Sun",8,"30"
1042,"jayhuman",2024-08-11,15:52:00,"N/A","Junkrat","Overwatch","Paris","None","Seb","Queue DM Junkrat Silhouette Endorsement 3 Mitzi and Friends namecard private profile",2024,"Aug","Sun",15,"52"
1043,"jaytdogzone",2024-08-11,16:14:00,"N/A","Reinhardt","Overwatch","New Queen Street","None","Seb","QP Goldhardt icon Endorsement 3 Bap main",2024,"Aug","Sun",16,"14"
1044,"jayd21",2024-08-11,17:36:00,"N/A","Torvald","Paladins","Abyss","Has Mythical Munchies","verdantJay","TDM",2024,"Aug","Sun",17,"36"
1045,"Thejstro",2024-08-12,04:50:00,"N/A","Venture","Overwatch","Workshop Island (Night)","Overwatch Agent","Seb","1k Damage Custom Crimson Clown icon Endorsement 3 The Dead Hunger namecard private profile",2024,"Aug","Mon",4,"50"
1046,"DJBunny",2024-08-12,05:20:00,"""no but I am a real bunny"" ""eating real hay rn""","Illari, Mercy","Overwatch","Havana","None","Seb","Real bunny Jay Goldrat icon Endorsement 4 Toronto namecard Junkrat main",2024,"Aug","Mon",5,"20"
1047,"JayXD66",2024-08-12,05:40:00,"N/A","Echo","Overwatch","Ilios Well","None","Seb","Minecraft Custom Overwatch Dark icon Endorsement 3 private profile",2024,"Aug","Mon",5,"40"
1048,"bfairjr",2024-08-12,05:42:00,"""ty""","Doomfist","Overwatch","Route 66","None","Seb","QP Anniversary 2017 icon Endorsement 3 private profile",2024,"Aug","Mon",5,"42"
1049,"JBird",2024-08-12,12:26:00,"N/A","Tracer","Overwatch","New Junk City","Nemesis","Richard","QP Spring Hammond icon Endorsement 2 Ganymede's Meadow namecard private profile",2024,"Aug","Mon",12,"26"
1050,"Ghostfacegja",2024-08-12,16:34:00,"""Hello!"" ""Snap?""","Colossus","Marvel Snap","Onslaught's Citadel","Happy Lunar New Year!","Seb","Proving Grounds Ongoing deck winner",2024,"Aug","Mon",16,"34"
1051,"AntiSocialCj",2024-08-13,17:42:00,"N/A","Widowmaker","Overwatch","Colosseo","Trickster","Seb","Skirmish Questwatch Pachimari icon Endorsement 4 Dance Machine namecard private profile",2024,"Aug","Tue",17,"42"
1052,"TJskills44",2024-08-14,13:39:00,"N/A","N/A","Paladins","N/A","None","Vixx","Leaver Jay",2024,"Aug","Wed",13,"39"
1053,"Jmrqzz",2024-08-14,13:58:00,"N/A","Evie","Paladins","Dragon Arena","We're so Buck","verdantJay","TDM",2024,"Aug","Wed",13,"58"
1054,"Te-3H84J",2024-08-14,16:21:00,"N/A","Zarya","Overwatch","Paris","None","Seb","Queue DM Ghostymari icon Endorsement 4 private profile",2024,"Aug","Wed",16,"21"
1055,"Jay",2024-08-14,17:30:00,"N/A","Tracer","Overwatch","Château Guillard","Assassin","Seb","Silent Jay Queue DM Goldborg icon Endorsement 3 Genji - Tier 3 namecard private profile",2024,"Aug","Wed",17,"30"
